Video Name,Date,Time,Total Count,Car Count,Truck Count,Bus Count,Motorcycle Count
lane2.mp4,2025-04-12,11:28:30,4600,4067,338,195,0
lane2.mp4,2025-04-12,11:28:31,5975,5307,442,226,0
lane2.mp4,2025-04-12,11:28:36,20405,17581,2133,691,0
lane1.mp4,2025-04-12,11:28:40,919,915,4,0,0
lane1.mp4,2025-04-12,11:28:45,1167,1128,37,2,0
lane2.mp4,2025-04-12,11:28:46,5386,4775,389,222,0
lane3.mp4,2025-04-12,11:28:47,26595,23529,1214,969,883
lane2.mp4,2025-04-12,11:28:51,4696,4154,342,200,0
lane2.mp4,2025-04-12,11:28:54,6101,5422,453,226,0
lane2.mp4,2025-04-12,11:28:58,20515,17672,2143,700,0
lane1.mp4,2025-04-12,11:29:02,947,943,4,0,0
lane1.mp4,2025-04-12,11:29:06,1212,1164,45,3,0
lane2.mp4,2025-04-12,11:29:09,5515,4888,401,226,0
lane3.mp4,2025-04-12,11:29:09,26762,23685,1219,975,883
lane2.mp4,2025-04-12,11:29:15,4847,4288,354,205,0
lane2.mp4,2025-04-12,11:29:17,6260,5569,465,226,0
lane2.mp4,2025-04-12,11:29:21,20654,17786,2157,711,0
lane1.mp4,2025-04-12,11:29:23,973,969,4,0,0
lane3.mp4,2025-04-12,11:29:29,26882,23800,1219,980,883
lane2.mp4,2025-04-12,11:29:30,5659,5020,413,226,0
lane1.mp4,2025-04-12,11:29:28,1250,1197,50,3,0
lane2.mp4,2025-04-12,11:29:35,5029,4451,370,208,0
lane2.mp4,2025-04-12,11:29:39,6459,5751,479,229,0
lane2.mp4,2025-04-12,11:29:43,20847,17933,2187,727,0
lane1.mp4,2025-04-12,11:29:43,1015,1008,5,2,0
lane1.mp4,2025-04-12,11:29:53,1308,1244,61,3,0
lane3.mp4,2025-04-12,11:29:55,27033,23938,1225,986,884
